template_version,data_version,visit_id,address,ward,cluster,old_boundary,new_boundary,boundaries_value,boundaries_comment,feederpatterns_value,feederpatterns_comment,eschoicesets_value,eschoicesets_comment,mschoicesets_value,mschoicesets_comment,msproximity_value,msproximity_comment,hslottery_value,hslottery_comment,setasides_value,setasides_comment
1.1,1.1,6a097d01-ad6b-e1b8-801b-5afb37950047,18XX N STREET NW,Ward 2,Cluster 6,Stevens,School Without Walls @ Francis-Stevens,,,,,,,,,,,,,,
1.1,1.1,6a097d01-ad6b-e1b8-801b-5afb37950047,18XX N STREET NW,Ward 2,Cluster 6,Stevens,School Without Walls @ Francis-Stevens,,,,,,,,,,,,,,
1.1,1.1,56235af8-7fd0-deea-35d4-414a54f7e519,45XX MEADE STREET NE,Ward 7,Cluster 31,Houston,Houston,,,,,,,,,,,,,,
1.1,1.1,c2819b6b-a7cb-33c8-1726-14b47e2fdb0a,6XX D STREET NE,Ward 6,Cluster 25,Ludlow-Taylor,Ludlow-Taylor,3,"Ludlow-Taylor desperately needs a new principal if the school is going to capture in-bounds families and reach its capacity. Barring that, I'd rather be rezone for Peabody or granted proximity admission preference to School-Within-School at Goding.",,,,,,,,,,,,
1.1,1.1,5eaba67d-696c-841e-b07a-12fdefd36d08,1XX S STREET NW,Ward 5,Cluster 21,"Cook,J.F.",Seaton,,,,,,,,,,,,,,
1.1,1.1,125923ff-8d80-fc44-f347-73af5dfa4d25,15XX D STREET NE,Ward 6,Cluster 25,Miner,Miner,,,,,,,,,,,,,,
1.1,1.1,125923ff-8d80-fc44-f347-73af5dfa4d25,15XX D STREET NE,Ward 6,Cluster 25,Miner,Miner,,,,,,,,,,,,,,
1.1,1.1,4e5e8d9d-9995-3833-ddc0-bb9d3eebbb65,24XX 16TH STREET NW,Ward 1,Cluster 1,"Reed,Marie","Reed, Marie",,,,,,,,,,,,,,
1.1,1.1,98ae0a30-1ca6-ad47-dc63-de86ea077cc9,16XX Q STREET NW,Ward 2,Cluster 6,Ross,Ross,3,,,,,,,,,,,,,
1.1,1.1,82d5b57e-fdfa-91bf-d836-9ea3bd511782,13XX E STREET NE,Ward 6,Cluster 25,Miner,Miner,,,,,,,,,,,,,,
1.1,1.1,4ee79212-3876-957c-34b6-624282b4c165,13XX IRVING STREET NW,Ward 1,Cluster 2,Tubman,Tubman,,,,,,,,,,,,,,
1.1,1.1,70f60063-be34-2221-9901-f0e9cbfeb9db,16XX COLUMBIA ROAD NW,Ward 1,Cluster 1,"Cooke,H.D.","Cooke, H.D",,,5,,5,,5,,,,,,,
1.2,1.1,30e4aa1d-3273-53a3-35fa-6c4702912230,37XX OLIVER STREET NW,Ward 3,Cluster 10,Lafayette,Lafayette,4,,,,,,,,,,,,,
1.2,1.1,b8ffecea-bc82-570a-e324-b19720d689d0,57XX 13TH STREET NW,Ward 4,Cluster 18,Brightwood,Brightwood,,,,,,,,,,,,,,
1.2,1.1,22f0575e-f342-76cf-05f6-bdf0530d8e94,13XX VERMONT AVENUE NW,Ward 2,Cluster 7,Garrison,Seaton,,,,,,,,,,,,,,
1.2,1.1,22f0575e-f342-76cf-05f6-bdf0530d8e94,13XX VERMONT AVENUE NW,Ward 2,Cluster 7,Garrison,Seaton,2,,,,,,,,,,,,,
1.2,1.1,95b8acb4-06d4-61a4-8c13-adb05a1a7444,30XX PORTER STREET NW,Ward 3,Cluster 15,Eaton,Eaton,,,,,,,,,,,,,,
1.2,1.1,6b3871e2-1532-6a5e-9436-d6628debc24a,47XX ALBEMARLE STREET NW,Ward 3,Cluster 11,Janney,Janney,,,,,,,,,,,,,,
1.2,1.1,93d7177a-24f7-b7bc-ea31-00981d3ec66a,5XX IRVING STREET NW,Ward 1,Cluster 2,ParkView,Bruce Monroe @ Park View,,,,,,,,,,,,,,
1.2,1.1,7217bd07-ade7-c510-1556-3e3120138143,15XX ALLISON STREET NW,Ward 4,Cluster 18,West,West,,,,,,,,,,,,,,
1.2,1.1,822376fa-1b03-aa63-356c-d5b839748895,14XX 15TH STREET NW,Ward 2,Cluster 6,Ross,Ross,,,,,,,,,,,,,,
1.2,1.1,d324ba3b-6bb9-3052-36bb-bf8649d6bced,12XX PENNSYLVANIA AVENUE NW,Ward 2,,Thomson,Thomson,,,,,,,,,,,,,,
1.2,1.1,541c8025-d254-d9b2-1547-b24bfb8ccb90,21XX M STREET NW,Ward 2,Cluster 6,Stevens,School Without Walls @ Francis-Stevens,,,,,,,,,,,,,,
1.2,1.1,3ea144f5-7301-5e24-8cc8-7f75f7d41302,3XX 8TH STREET NE,Ward 6,Cluster 25,Peabody,Watkins,,,,,,,,,,,,,,
1.2,1.1,a2d87dac-df8d-785b-fcd4-d437d6a83e73,35XX NEW HAMPSHIRE AVENUE NW,Ward 1,Cluster 2,Raymond,Raymond,,,,,,,,,,,,,,
1.2,1.1,a647dcbb-db6f-123a-1c6b-964eaeba9046,6XX 10TH STREET NE,Ward 6,Cluster 25,Ludlow-Taylor,Ludlow-Taylor,,,,,,,,,,,,,,
1.2,1.1,26c51d69-12ee-b602-3de4-47b446a091b9,18XX 12TH STREET NW,Ward 1,Cluster 3,Garrison,Garrison,,,,,,,,,,,,,,
1.2,1.1,77f4066e-f655-a1f0-882d-c24130ac165a,5XX IRVING STREET NW,Ward 1,Cluster 2,ParkView,Bruce Monroe @ Park View,,,,,,,,,,,,,,
1.2,1.1,f1c76fe8-e23b-bed1-58c4-12d93d5836a5,8XX 1ST STREET NE,Ward 6,Cluster 25,Walker-Jones,Walker-Jones,,,,,,,,,,,,,,
1.2,1.1,351d6829-2df5-c9e2-bda4-8c9c3e03a8e7,35XX WARDER STREET NW,Ward 1,Cluster 2,ParkView,Bruce Monroe @ Park View,,,,,,,,,,,,,,
1.2,1.1,45c6c7b5-66cc-393d-9ac0-3aadff69813f,15XX 18TH STREET NW,Ward 2,Cluster 6,Ross,Ross,,,,,,,,,,,,,,
1.2,1.1,351d6829-2df5-c9e2-bda4-8c9c3e03a8e7,12XX IRVING STREET NW,Ward 1,Cluster 2,Tubman,Tubman,,,,,,,,,,,,,,
1.2,1.1,351d6829-2df5-c9e2-bda4-8c9c3e03a8e7,11XX IRVING STREET NW,Ward 1,Cluster 2,Tubman,Tubman,,,,,,,,,,,,,,
1.2,1.1,351d6829-2df5-c9e2-bda4-8c9c3e03a8e7,10XX IRVING STREET NW,Ward 1,Cluster 2,Bruce-Monroe,Tubman,,,,,,,,,,,,,,
1.2,1.1,351d6829-2df5-c9e2-bda4-8c9c3e03a8e7,35XX WARDER STREET NW,Ward 1,Cluster 2,ParkView,Bruce Monroe @ Park View,,,,,,,,,,,,,,
1.2,1.1,f510bf76-6b74-535e-0673-4b5e6d857fba,3XX TAYLOR STREET NW,Ward 4,Cluster 18,Clark,Barnard,,,,,,,,,,,,,,
1.2,1.1,f510bf76-6b74-535e-0673-4b5e6d857fba,28XX ADAMS MILL ROAD NW,Ward 1,Cluster 1,Oyster,Oyster-Adams Lower,,,,,,,,,,,,,,
1.2,1.1,a45835ca-bbac-dd7f-fdfe-676ee391c910,47XX ALBEMARLE STREET NW,Ward 3,Cluster 11,Janney,Janney,,,,,,,,,,,,,,
1.2,1.1,3eed9908-28c7-664e-0381-e41cbb2ed166,1XX 13TH STREET SE,Ward 6,Cluster 26,Payne,Payne,,,,,,,,,,,,,,
1.2,1.1,0123f9db-520d-d807-b23e-17d0d25e3e2d,39XX 7TH STREET NE,Ward 5,Cluster 20,Brookland,Brookland @ Bunker Hill,,,,,,,,,,,,,,
1.2,1.1,2e8526d8-f909-063d-d177-d6fe73b0866a,18XX MINTWOOD PLACE NW,Ward 1,Cluster 1,Oyster,Oyster-Adams Lower,4,Oyster has capacity problems as it is; will admission by right require investment to prevent this from becoming another lottery situation?,1,"If this area doesn't feed into Wilson, or a hypothetical Western located in Georgetown, you're going to have a massive exodus of parents to the suburbs. We don't feel comfortable with Cardozo.",4,This would be more compelling if (say) Hearst was turned into a French bilingual school.,3,My concern is the impact of losing access to Oyster's elementary program on participating in Oyster-Adams MS.,2,We don't feel like Columbia Heights is a part of our community. Francis-Stevens would be more compelling.,1,"Again, without guaranteed access to Wilson or a hypothetical Western, this area will lose confidence in DCPS.",3,
1.2,1.1,0123f9db-520d-d807-b23e-17d0d25e3e2d,10XX VERMONT AVENUE NW,Ward 2,Cluster 8,Thomson,Thomson,,,,,,,,,,,,,,
1.2,1.1,9781dbb5-c7c1-efe9-2478-8e6769327346,1XX H STREET SE,Ward 6,Cluster 27,Bowen,Amidon-Bowen,,,,,,,,,,,,,,
1.2,1.1,55d140cc-3226-d0ac-ef6b-e951f0404138,6XX 10TH STREET NE,Ward 6,Cluster 25,Ludlow-Taylor,Ludlow-Taylor,,,,,,,,,,,,,,
1.2,1.1,6d8b7c60-335a-4442-a1aa-8955ae59ca5e,14XX 15TH STREET NW,Ward 2,Cluster 6,Ross,Ross,3,,,,,,,,,,,,,
1.2,1.1,6abeff40-366b-1b56-694e-264397ba70e7,16XX A STREET NE,Ward 6,Cluster 26,Maury,Maury,,,,,,,,,,,,,,
1.2,1.1,b75e2aea-cb0e-67e9-056e-c6c6c94c21d3,18XX PHELPS PLACE NW,Ward 2,Cluster 1,Adams,Oyster-Adams Lower,5,"This is incorrect.  Our current elementary school is Francis-Stevens/Marie Reed (dual-assigned) and we would change to Oyster.  We are, however, elated.  We strongly support this change as I always found it strange how close we are to Oyster without being in-boundary.  While we were considering moving, we would likely stay in our current home to attend Oyster.",2,"Again, has our current school incorrect.  We do not support feeding into Cardozo.  However, as an overall change to the system that included rezoning for Oyster, this may make sense.  Our neighborhood has many small kids but not as many high school aged children.",3,The system seems to have either our address or the boundaries wrong.,3,,2,,2,,4,
1.2,1.1,52fe58a0-99f5-c9d0-ce20-9c68650fd880,14XX F STREET NW,Ward 2,Cluster 8,Thomson,Thomson,,,,,,,,,,,,,,
1.2,1.1,786f6697-54f1-93df-b031-594b1fbcbadf,19XX 1ST STREET NW,Ward 5,Cluster 21,Gage-Eckington,Cleveland,,,,,,,,,,,,,,
1.2,1.1,786f6697-54f1-93df-b031-594b1fbcbadf,19XX 1ST STREET NW,Ward 5,Cluster 21,Gage-Eckington,Cleveland,,,,,,,,,,,,,,
1.2,1.1,e40edd40-48ea-3461-605c-1a1a85347d4e,20XX BELMONT ROAD NW,Ward 1,Cluster 1,Oyster,Oyster-Adams Lower,,,,,,,,,,,,,,
1.2,1.1,13591408-89a2-4c13-7694-3763e1b686a9,5XX G STREET SE,Ward 6,Cluster 26,Brent,Brent,5,,2,,1,,3,,3,,2,,4,
1.2,1.1,922d6a7f-fa1f-53a6-8780-eb291d3db300,3XX 9TH STREET SE,Ward 6,Cluster 26,Watkins,Watkins,4,,4,,4,,3,,3,,2,,4,
1.2,1.1,4603bbec-40a5-a429-6988-42f471dbaecb,6XX VARNUM STREET NW,Ward 4,Cluster 18,Clark,Powell,,,,,,,,,,,,,,
1.2,1.1,32adc54e-2995-de98-6c75-b418ae6bab10,9XX 14TH STREET SE,Ward 6,Cluster 26,Tyler,Tyler,4,,2,,3,,3,,2,,1,,2,
1.2,1.1,c0236eb6-b12d-9963-61d4-a5e64593da23,13XX FAIRMONT STREET NW,Ward 1,Cluster 2,Meyer,"Cooke, H.D",,,,,,,,,,,,,,
1.2,1.1,dea427f8-f585-e6dd-2878-1730e1ed04eb,1XX S STREET NW,Ward 5,Cluster 21,"Cook,J.F.",Seaton,4,,3,,,,,,,,,,,
1.2,1.1,70c93927-92b6-a38a-3068-d3d758502f6f,9XX C STREET SE,Ward 6,Cluster 26,Watkins,Watkins,,,,,,,,,,,,,,
1.2,1.1,01d9ed3e-0749-8585-022d-19615015441b,13XX STAPLES STREET NE,Ward 5,Cluster 23,Wheatley,Wheatley,3,"Our son goes to JO Wilson, not our neighborhood school",3,"I'm not happy with our in-bound options, so we will do the lottery",4,"I like this idea generally, but it would depend on which charter is in our choice set.",4,Depends on how the new school is set up. ,1,"Obviously, this coding is incorrect. YSC only serves children incarcerated there. ",5,"The more we can mix up school attendance, and therefore decrease racial and economic segregation, the better. ",3,I'm not sure how this would work in reality. I have trouble visualizing it as a solution. 
1.2,1.1,89e62909-0d0f-077c-4222-e9028086b60a,46XX MACARTHUR BOULEVARD NW,Ward 3,Cluster 13,Key,Hyde-Addison,,,,,,,,,,,,,,
1.2,1.1,89e62909-0d0f-077c-4222-e9028086b60a,46XX MACARTHUR BOULEVARD NW,Ward 3,Cluster 13,Key,Hyde-Addison,,,,,,,,,,,,,,
1.2,1.1,ed89e0fd-3807-b727-6de2-8de96041abe2,20XX GALES STREET NE,Ward 7,Cluster 25,Gibbs,Miner,4,,,,,,,,,,,,,
1.2,1.1,7abbcfc2-c333-c2a4-127b-0242b3700e8f,6XX ALLISON STREET NW,Ward 4,Cluster 18,Clark,Powell,5,,3,,3,,2,,4,,2,,4,
1.2,1.1,0918a57b-2ad4-2550-08dd-ab29b2ae58dd,12XX KENNEDY STREET NW,Ward 4,Cluster 18,Truesdell,West,3,,1,,,,,,1,,,,,
1.2,1.1,9468421c-0f14-e0a8-f0a2-66efe86f91a8,29XX CATHEDRAL AVENUE NW,Ward 3,Cluster 15,Oyster,Oyster-Adams Lower,,,,,,,,,,,,,,
1.2,1.1,79c447e6-bf1f-2f8e-25b2-89cddbbcefe8,38XX NEWARK STREET NW,Ward 3,Cluster 14,Eaton,Eaton,,,,,,,,,,,,,,
1.2,1.1,2a66c76a-15a0-e5c4-499b-b6c26435a17f,26XX 39TH STREET NW,Ward 3,Cluster 14,Stoddert,Stoddert,,,,,,,,,,,,,,
